Date,Open,High,Low,Close,Shares Traded,Turnover (? Cr)
########,12235.45,12287.15,12213.25,12262.75,6.05E+08,18078.23
########,12269.25,12283.7,12202.1,12214.55,4.70E+08,13864.56
########,12211.85,12221.55,12118.85,12126.55,5.20E+08,16362.31
########,12172.9,12258.45,12157.9,12245.8,3.84E+08,13676.2
########,12274.9,12286.45,12213.8,12255.85,4.11E+08,14556.73
########,12247.1,12247.1,12151.8,12168.45,4.27E+08,14812.89
1-Jan-20,12202.15,12222.2,12165.3,12182.5,3.04E+08,10445.68
2-Jan-20,12198.55,12289.9,12195.25,12282.2,4.08E+08,15256.55
3-Jan-20,12261.1,12265.6,12191.35,12226.65,4.29E+08,16827.27
6-Jan-20,12170.6,12179.1,11974.2,11993.05,3.97E+08,16869.22
7-Jan-20,12079.1,12152.15,12005.35,12052.95,4.48E+08,17797.68
8-Jan-20,11939.1,12044.95,11929.6,12025.35,4.46E+08,18281.15
9-Jan-20,12153.15,12224.05,12132.55,12215.9,4.77E+08,18456.64
10-Jan-20,12271,12311.2,12213.2,12256.8,6.61E+08,18818.62
13-Jan-20,12296.7,12337.75,12285.8,12329.55,5.01E+08,17522.13
14-Jan-20,12333.1,12374.25,12308.7,12362.3,6.16E+08,17948.92
15-Jan-20,12349.4,12355.15,12278.75,12343.3,6.84E+08,17882.51
16-Jan-20,12347.1,12389.05,12315.8,12355.5,3.96E+08,16004.06
17-Jan-20,12328.4,12385.45,12321.4,12352.35,5.02E+08,21397.63
20-Jan-20,12430.5,12430.5,12216.9,12224.55,4.92E+08,21415.43
21-Jan-20,12195.3,12230.05,12162.3,12169.85,4.44E+08,18682.65
22-Jan-20,12218.35,12225.05,12087.9,12106.9,5.26E+08,19758.68
23-Jan-20,12123.75,12189,12094.1,12180.35,8.68E+08,23829.39
24-Jan-20,12174.55,12272.15,12149.65,12248.25,5.93E+08,18032.27
27-Jan-20,12197.1,12216.6,12107,12119,4.41E+08,17988.61
28-Jan-20,12148.1,12163.55,12024.5,12055.8,4.78E+08,20917.62
29-Jan-20,12114.9,12169.6,12103.8,12129.5,5.14E+08,20646.18
30-Jan-20,12147.75,12150.3,12010.6,12035.8,5.38E+08,19372.67
31-Jan-20,12100.4,12103.55,11945.85,11962.1,7.71E+08,26044.91
########,11939,12017.35,11633.3,11661.85,5.38E+08,20598.12
########,11627.45,11749.85,11614.5,11707.9,6.70E+08,25415.26
########,11786.25,11986.15,11783.4,11979.65,5.60E+08,22338.5
########,12005.85,12098.15,11953.35,12089.15,7.58E+08,22998.05
########,12120,12160.6,12084.65,12137.95,5.65E+08,21735.92
########,12151.15,12154.7,12073.95,12098.35,4.73E+08,16339.61
########,12102.35,12103.55,11990.75,12031.5,5.26E+08,17185.14
########,12108.4,12172.3,12099,12107.9,4.80E+08,16209.52
########,12151,12231.75,12144.3,12201.2,4.12E+08,16598.33
########,12219.55,12225.65,12139.8,12174.65,5.02E+08,16315.27
########,12190.15,12246.7,12091.2,12113.45,6.23E+08,20759.51
########,12131.8,12159.6,12037,12045.8,4.55E+08,15439.55
########,12028.25,12030.75,11908.05,11992.5,6.77E+08,18853
########,12090.6,12134.7,12042.1,12125.9,5.14E+08,17610.89
########,12119,12152,12071.45,12080.85,5.03E+08,18831.51
